dt,switch,src,dst,pktCount,byteCount,duration,duration_nsec,total_duration,flows,pktrate,pairflow,protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label,packetins,byteperflow,packetperflow
0,8,10.0.0.231,10.0.0.115,54,9863,384,2462,480,7,97.36868036149386,5,TCP,53547,21967,36360,16.982550831016056,42.354465789622985,81.3106795301235,1,10,408,19
1,8,10.0.0.123,10.0.0.126,167,46264,404,3943,251,6,4.743365366895981,4,ICMP,17735,20830,5436,28.80940401023728,30.677439874843756,20.62573777159312,0,0,926,5
2,10,10.0.0.128,10.0.0.101,99,38986,173,1186,108,6,22.35813798486466,4,ICMP,17618,22675,31531,20.694142251945536,1.818660961563117,86.15833880236293,0,3,68,20
3,1,10.0.0.173,10.0.0.164,116,38168,104,3677,245,7,12.700341750665704,4,ICMP,45003,26026,1122,36.81462668244357,7.549386068405055,54.6271178262986,1,5,596,18
4,1,10.0.0.96,10.0.0.173,465,28651,159,1280,551,7,65.81135747121252,2,TCP,56315,18684,22101,10.698816245594143,1.5566147091390352,75.48827754891168,1,9,563,14
5,7,10.0.0.142,10.0.0.254,467,38393,262,2706,877,5,39.13020774346614,5,UDP,20648,44977,33953,15.686368752457291,16.740590937357826,20.05139588785014,1,4,460,5
6,10,10.0.0.185,10.0.0.224,365,35827,238,3071,129,5,91.21891893716351,4,TCP,49507,40617,34225,20.802210171035053,28.268167915521005,20.328322415660967,1,3,778,12
7,9,10.0.0.17,10.0.0.247,222,1151,86,4503,530,2,41.766619357178286,3,UDP,23621,1410,15268,1.8580034443432991,25.064585620775148,79.30943275608286,0,7,259,16
8,9,10.0.0.91,10.0.0.62,150,31823,490,4729,377,3,70.18080114296859,2,TCP,6682,35278,25880,28.41039408068382,1.480121445514811,67.5166953599122,0,3,811,5
9,3,10.0.0.35,10.0.0.145,104,2361,330,3891,390,4,3.862293822933525,3,ICMP,23759,47140,26492,32.2318257739356,30.03617806454709,27.116825605557437,0,7,256,17
10,9,10.0.0.229,10.0.0.97,295,28617,52,4294,282,6,65.75986244360725,2,TCP,23492,37344,41122,37.86471603565226,47.21068055516751,2.916717074008011,1,3,133,6
11,10,10.0.0.232,10.0.0.189,61,22118,149,3652,438,1,80.52110669433313,3,ICMP,4359,38695,5084,13.555649823588578,25.30691281207942,14.09145669319874,0,1,732,8
12,1,10.0.0.16,10.0.0.237,57,44521,238,3774,589,3,62.523315392167014,4,UDP,42954,4696,39692,18.584556028038527,11.849187741282124,6.673562426958458,0,0,835,10
13,5,10.0.0.134,10.0.0.192,316,11813,252,2160,442,1,70.47250211337553,2,TCP,13985,41655,18596,49.81631573741128,30.52756940978183,90.71963357295192,0,6,127,18
14,4,10.0.0.84,10.0.0.138,278,27699,148,839,307,4,59.94146261669792,2,ICMP,11607,22826,45784,16.011950472139077,14.568129355016202,84.71589421135174,0,1,341,7
15,1,10.0.0.144,10.0.0.191,472,37362,59,4033,555,4,73.56068967422624,1,ICMP,4928,28530,8616,20.477578791481346,21.92474813902382,2.662178064168592,1,7,182,3
16,9,10.0.0.121,10.0.0.88,240,30685,119,1409,317,7,9.357543569880884,1,TCP,29358,35113,31682,27.09562765877517,26.384767457725207,57.81703406021525,0,5,795,7
17,7,10.0.0.31,10.0.0.207,206,9612,452,2080,776,10,60.84502139858868,1,UDP,26427,30920,14319,44.69160340193069,11.407773980073992,12.286911769465998,0,4,52,14
18,7,10.0.0.200,10.0.0.172,349,41946,241,2959,298,9,67.46829223101085,5,TCP,50888,22298,4717,38.72923131659915,46.49213884827388,27.505638971140378,1,7,342,13
19,10,10.0.0.76,10.0.0.151,308,43421,333,4422,183,10,39.14814268715131,5,UDP,58204,28139,49446,40.76575283725551,33.1911815830697,90.08489952799732,1,5,512,1
20,7,10.0.0.224,10.0.0.25,361,1134,462,1939,874,7,26.65787327676441,5,TCP,38940,33093,10755,31.302880235421227,22.54289994348019,20.507848284775946,0,6,278,2
21,4,10.0.0.35,10.0.0.13,282,37674,153,1502,497,2,85.63129672097297,1,UDP,58105,42004,35045,7.337586478542436,46.510824077242745,65.73592612866716,1,5,683,1
22,2,10.0.0.129,10.0.0.209,76,6304,50,1352,794,5,10.577315143042838,4,ICMP,62289,27583,10996,42.29526764682642,33.67410503323988,21.604431327905427,1,3,184,6
23,9,10.0.0.102,10.0.0.167,41,46571,77,3125,845,8,26.282466416633543,4,UDP,10997,36323,44470,20.46958022265653,47.210516845300326,78.4093753747708,0,0,668,7
24,10,10.0.0.5,10.0.0.86,102,37653,154,4745,919,7,45.64283743337539,4,UDP,45482,47300,17141,3.4567091439893924,15.4756465001698,61.00479641171847,0,6,436,5
25,3,10.0.0.148,10.0.0.39,244,30254,447,2602,161,8,12.80162581700399,4,ICMP,1663,9172,11135,46.38931316799251,1.4963942945299649,61.86568987132454,0,2,151,3
26,1,10.0.0.186,10.0.0.225,266,40898,321,3714,804,6,88.06076023515304,5,UDP,18285,10793,15621,35.01433125063222,31.83894756235105,55.852746427959374,0,5,547,2
27,2,10.0.0.112,10.0.0.160,171,11079,150,297,339,6,21.743607109051737,1,TCP,2982,10446,40063,12.923634138618324,19.90568711277718,33.057788962689756,1,8,457,3
28,1,10.0.0.61,10.0.0.116,359,42374,357,4585,405,3,52.999759858300365,2,TCP,60606,32884,26538,8.350225119953098,32.55779505778835,77.17821502934846,0,0,670,9
29,3,10.0.0.33,10.0.0.36,244,3240,82,786,318,7,92.04403751446058,3,TCP,64061,20268,24477,4.344205400714236,32.25017539755049,69.91505266950138,1,5,749,18
30,8,10.0.0.24,10.0.0.149,294,29382,65,1965,882,2,94.08671743006845,4,TCP,59410,28012,22534,38.06730544516609,47.94653219343247,46.763512529703036,1,4,471,2
31,5,10.0.0.140,10.0.0.65,98,14010,490,4344,330,3,16.581985755487054,2,ICMP,63487,27710,6026,22.28352168730909,14.31307200318518,63.06308469072643,1,0,806,5
32,4,10.0.0.5,10.0.0.100,350,34071,405,1896,654,6,76.96247055037485,1,TCP,24506,9823,34252,30.83328858518774,32.99049593740734,5.748571838853753,0,10,406,11
33,9,10.0.0.140,10.0.0.195,138,47401,60,2271,324,7,96.4904084653594,5,UDP,3204,38145,19854,22.679490692946754,46.03105253454722,75.19633247396634,0,9,719,7
34,5,10.0.0.80,10.0.0.42,165,36560,294,1385,102,7,39.46114333683446,4,UDP,64515,22474,45742,23.60451148470819,41.197927587246426,94.11796223380482,1,8,257,19
35,10,10.0.0.234,10.0.0.29,242,6310,332,4583,673,6,98.61335950456369,5,UDP,7526,3061,24806,14.91022578386304,44.58114330631276,77.89956146713534,1,7,182,12
